Mall Name,Longitude,Latitude
206 Bourke Street,144.966947,-37.812733
670 Chapel,144.996158,-37.837395
Acland Court Shopping Centre,144.980617,-37.868967
Altona Gate Shopping Centre,144.84627,-37.828989
Arena Shopping Centre,145.43517539621,-38.064493171914
Aspendale Gardens Shopping Centre,145.1178408,-38.0220486
Athol Road Shopping Centre,145.1498278,-37.9719898
Balnarring Village Shopping Centre,145.12501,-38.373199
Barkly Square,144.962004,-37.775695
Barrabool Hills Plaza,144.3063278,-38.1611533
Bayside Shopping Centre,145.124068,-38.141951
Bell Post Hill Shopping Centre,144.3360194,-38.089965
Bellarine Village Shopping Centre,144.388547,-38.168784
Bellpost Shopping Centre,144.3360194,-38.089965
Belmont Village,144.349107,-38.170104
Bendigo Marketplace,144.280743,-36.765765
Bentons Square Shopping Centre,145.048067,-38.245416
Berwick Marketplace,145.346619,-38.02951
Birallee Village Shopping Centre,146.86482,-36.127763
Blackburn Square,145.152392,-37.812013
Bourke Street Mall,144.964386,-37.813538
Box Hill Central,145.12179,-37.818677
Brand Smart Premium Outlet Centre,145.1714718,-37.819375
Brandon Park Shopping Centre,145.161647,-37.905522
Braybrook Shopping Centre,144.8640115,-37.7819431
Brimbank Central Shopping Centre,144.775276,-37.751223
Broadmeadows Shopping Centre,144.91953,-37.680244
Bulleen Plaza,145.091637,-37.76613
Burnside Hub,144.753677,-37.75938
Burwood One Shopping Centre,145.149761,-37.853784
Camberwell Sunday Market,145.058043,-37.82931
Campbellfield Plaza,144.9594272,-37.688232
Canterbury Gardens Shopping Centre,145.301494,-37.822732
Carnegie Central,145.058444,-37.884786
Casey Central,145.2998351,-38.0681841
Caulfield Plaza Shopping Centre,145.04284,-37.876146
Central Square Shopping Centre,144.776038,-37.873122
Central West Shopping Centre,144.861609,-37.793489
Centro Sunshine Marketplace,144.831506,-37.78187
Century City Walk,145.164632,-37.881427
Chadstone The Fashion Capital,145.08346106348,-37.886038881076
Chirnside Homemaker Centre,145.305655,-37.765247
Chirnside Park Shopping Centre,145.313972,-37.758258
Civic Square Shopping Centre,145.28299318557,-37.799301795285
Clarinda Shopping Village,145.1037718751,-37.94092346938
Clayton Shopping Plaza,145.11908574083,-37.926842340381
Coburg Hill Shopping Centre,144.983537,-37.729625
Collins Place,144.97268,-37.814312
Collins234 Boutique Place,144.965749,-37.815545
Corio Village Shopping Centre,144.355819,-38.074772
Craigieburn Central,144.912268,-37.592986
Cranbourne Homemaker Centre,145.279178,-38.085817
Cranbourne Park,145.282017,-38.109657
Croydon Central Shopping Centre,145.278937,-37.794026
CS Square Shopping Centre,144.743748,-37.731774
Dandenong Plaza,145.217684,-37.986731
Darley Plaza,144.440871,-37.659449
DFO Essendon,144.906547,-37.733125
DFO Moorabbin,145.08812,-37.971261
DFO South Wharf,144.949879,-37.825196
Diamond Creek Shopping Station,145.15957,-37.673551
Dingley Village Shopping Centre,145.1340757,-37.9837723
Dromana Hub Shopping Centre,144.964645,-38.333538
Eastland Shopping Centre,145.229157,-37.812672
Eden Rise Village,145.3394612,-38.0604189
Eliza Square Shopping Centre,145.0899158,-38.1837559
Eltham Village Shopping Centre,145.148743,-37.714902
Emporium Melbourne,144.963555,-37.812517
Endeavour Hills Shopping Centre,145.258788,-37.976993
Epping North Shopping Centre,145.027155,-37.628168
Essendon Fields Central (ex Runway Plaza),144.893951,-37.724585
Federation Square (Fed Square),144.969024,-37.81797
Footscray Market,144.901875,-37.800522
Footscray Plaza Shopping Centre,144.8977057,-37.8016476
Forest Hill Chase Shopping Centre,145.164718,-37.835453
Frankston Power Centre,145.137326,-38.148946
Galleria Melbourne,144.962743,-37.814824
Gateway Plaza,142.519768,-38.381608
Gateway Plaza Leopold,144.4548622,-38.185691
Geelong Gate Homemaker Centre,144.383085,-38.065015
Gippsland Centre,147.06271,-38.106745
Gisborne Village Shopping Centre,144.5891064,-37.4863404
Gladstone Park Shopping Centre,144.88463,-37.688293
Greensborough Plaza,145.102816,-37.702696
Greenvale Shopping Centre,144.881948,-37.639349
Hampton Park Shopping Centre,145.265843,-38.032654
Harvey Norman - Wangaratta,146.325113,-36.356748
Harvey Norman Centre - Hoppers Crossing,144.710844,-37.875109
Harvey Norman Centre Maribyrnong,144.885527,-37.772658
Harvey Norman Centre Warrnambool,142.523999,-38.383231
Healesville Walk Shopping Centre,145.518043,-37.652833
Highett Shopping Centre,145.041367,-37.949024
Highpoint Shopping Centre,144.888781,-37.77369
Hogan's Corner Shopping Centre,144.68726,-37.861908
Home Quarter Dandenong,145.21853,-38.005209
HomeCo. Armstrong Creek Town Centre (ACTC),144.3369861961,-38.225836200213
HomeCo. Ballarat (form. Wendouree Homemaker Centre),143.8211086,-37.5343837
Homemakers Albury Wodonga,146.90877,-36.137884
HomePlus Homemaker Centre,145.091922,-37.877598
Horsham Plaza,142.196203,-36.715718
Hunt Club Village Shopping Centre,145.2937235,-38.1005567
Ivanhoe Plaza,145.04146,-37.768183
Karingal Hub Shopping Centre,145.165494,-38.153172
Keilor Shopping Centre,144.806774,-37.727952
Kennington Village Shopping Centre,144.306331,-36.775409
Lansell Square,144.242283,-36.810475
Lara Village Shopping Centre,144.4099396053,-38.023494117161
Lilydale Marketplace,145.348895,-37.759801
Lynbrook Village Shopping Centre,145.256595,-38.05177
M-City Shopping Centre,145.1403919,-37.920929
Malvern Central,145.027026,-37.863028
Manor Lakes Central Shopping Centre,144.614452,-37.876281
Maribyrnong Homemaker Centre,144.8839527,-37.773265
Market Square Shopping Centre,144.361964,-38.147951
Marriott Waters Shopping Centre,145.24977566725,-38.077633717391
Meadow Heights Shopping Centre,144.9225687,-37.6503557
Melbourne Central Shopping Centre,144.962812,-37.810813
Melbourne GPO,144.963206,-37.813692
Melton Gateway ,144.603102,-37.688442
Mernda Junction Shopping Centre,145.09552479619,-37.600080072367
Midvalley Shopping Centre,146.429798,-38.236989
Mildura Central,142.138774,-34.208196
Milleara Shopping Centre,144.861442,-37.749591
Mitcham Shopping Centre,145.192535,-37.815739
Moonee Ponds Central,144.922669,-37.765648
Moorabbin House and Home Centre,145.038272,-37.939558
Mordialloc Plaza,145.086614,-38.008072
Mornington Central,145.039113,-38.218566
Mornington Village Shopping Centre,145.040597,-38.223672
Mountain Gate Shopping Centre,145.274908,-37.883678
Mountain High Shopping Centre,145.265094,-37.840921
Myer Bourke Street,144.963993,-37.813881
Newcomb Central Shopping Centre,144.3928452,-38.1701283
Northcote Shopping Plaza,145.001845,-37.768556
Northland Homemaker Centre,145.027778,-37.741697
Northland Shopping Centre,145.029845,-37.739018
Oakleigh Central,145.090211,-37.901055
Ocean Grove Marketplace,144.548297,-38.258894
Pacific Epping,145.018678,-37.653869
Pacific Werribee Plaza,144.679643,-37.875219
Pakenham Central Marketplace,145.483931,-38.0775
Pakenham Place Shopping Centre,145.480817,-38.079019
Pakington Strand,144.347662,-38.137503
Pakington Strand Shopping Centre,144.347624,-38.136985
Parkdale Plaza,145.084297,-37.997395
Parkhill Plaza Shopping Centre,145.322697,-38.014211
Parkmore Shopping Centre,145.173138,-37.992893
Pinewood Shopping Village,145.145241,-37.892422
Pran Central Shopping Centre,144.993643,-37.846954
Preston Market,145.00178,-37.739352
Preston South Shopping Centre,145.00238980791,-37.751407373871
Queen Victoria Market,144.955688,-37.807962
QV - Queen Victoria Village,144.965716,-37.810696
Ringwood Square Shopping Centre,145.2223565,-37.8160334
Ritchies Village Centre,145.089676,-38.185074
Rosebud Plaza,144.891378,-38.361526
Roxburgh Park Shopping Centre,144.932287,-37.639405
Royal Arcade,144.963505,-37.814699
Sanctuary Lakes Shopping Centre,144.7526675,-37.8953338
Sandhurst Centre,145.26519795878,-38.102943670298
Shepparton Marketplace,145.423834,-36.387641
Shopping on Clyde,145.3213262,-38.1184718
South Melbourne Market,144.9565374,-37.8323968
Spencer Outlet Centre,144.952153,-37.816219
Springvale Homemaker Centre,145.143394,-37.927444
Springvale Mega Centre,145.1679082,-37.9413687
Springvale Plaza Shopping Centre,145.14315422627,-37.961874322264
St Helena Marketplace,145.135792,-37.685088
Stockland Highlands Shopping Centre,144.9201082,-37.5751264
Stockland Point Cook Shopping Centre,144.73538783062,-37.883369895772
Stockland Wendouree,143.823885,-37.53431
Strath Village Shopping Centre,144.305047,-36.774541
Stud Park,145.237115,-37.920638
Sunbury Square Shopping Centre,144.729432,-37.577542
Target Centre Melbourne,144.966529,-37.813077
Tarneit Central Shopping Centre,144.6914238,-37.8359243
Tarneit Gardens Shopping Centre,144.673555,-37.839616
The Como Centre,144.996065,-37.838366
The District Docklands,144.939344,-37.812574
The Gateway,142.520583,-38.381549
The Glen Shopping Centre,145.165638,-37.87639
The Jam Factory,144.995792,-37.842618
The Local Village,145.1825171,-38.0886367
The Mall Boronia,145.2875692,-37.8603344
The Paramount Retail Centre,144.969441,-37.811333
The Pines Shopping Centre,145.168284,-37.763554
The Strand Melbourne,144.962665,-37.813277
The Village Dandenong,145.2479307,-38.0047682
The Village Warralily Shopping,144.3722798,-38.2300895
The Walk Arcade,144.964729,-37.814766
Thompson Parkway Shopping Centre,145.27759309725,-38.081700971905
Thrift Park Shopping Centre,145.076943,-37.984204
Tok H Centre,145.008246,-37.84066
Tooronga Village,145.04558170316,-37.845596113968
Traralgon Centre Plaza,146.53939,-38.194538
Vermont South Shopping Centre,145.182224,-37.855243
Victoria Gardens Shopping Centre,145.010977,-37.812724
Warringal Shopping Centre,145.068739,-37.755915
Waterfront City,144.9379634,-37.8139109
Watergardens Town Centre,144.775813,-37.699266
Watervale Shopping Centre,144.751043,-37.723117
Waurn Ponds Shopping Centre,144.32002096738,-38.200007271881
Waverley Gardens Shopping Centre,145.189605,-37.935473
Wellington Village Shopping Centre,145.252208,-37.92821
Westfield Airport West,144.886366,-37.714077
Westfield Doncaster,145.125332,-37.78685
Westfield Fountain Gate,145.3042624,-38.0175702
Westfield Geelong,144.362575,-38.146987
Westfield Knox,145.24004,-37.86927
Westfield Plenty Valley,145.071752,-37.651367
Westfield Southland,145.054806,-37.958445
Williams Landing Shopping Centre,144.7427483,-37.8673363
Wodonga Plaza,146.881917,-36.121153
Woodgrove Shopping Centre,144.56127,-37.686167
Woolworths Whitebox Rise Wodonga,146.892456,-36.139008
Wyndham Vale Square Shopping Centre,144.607036,-37.888057
Wyndham Village Shopping Centre,144.704302,-37.849333
